userId,movieId,rating
274,5621,2.0
274,5630,3.0
274,5667,3.5
274,5679,3.5
274,5690,3.0
274,5784,2.0
274,5785,4.0
274,5803,1.5
274,5804,2.5
274,5810,3.5
274,5816,3.0
274,5833,4.0
274,5843,3.5
274,5853,3.5
274,5872,3.0
274,5874,2.0
274,5879,2.5
274,5891,3.0
274,5903,4.0
274,5909,3.0
274,5942,2.5
274,5944,1.0
274,5952,3.5
274,5954,3.5
274,5956,3.0
274,5989,4.0
274,6005,3.5
274,6014,2.0
274,6016,4.0
274,6040,3.0
274,6058,3.0
274,6156,2.5
274,6157,2.5
274,6166,2.5
274,6188,3.0
274,6196,3.5
274,6213,3.5
274,6220,2.0
274,6242,3.0
274,6250,3.5
274,6264,3.0
274,6281,4.0
274,6287,2.0
274,6290,3.5
274,6297,3.5
274,6323,4.0
274,6333,4.0
274,6365,3.0
274,6373,2.5
274,6377,4.0
274,6378,4.0
274,6379,3.5
274,6383,2.0
274,6405,3.0
274,6464,3.5
274,6482,1.5
274,6502,3.5
274,6503,0.5
274,6534,1.5
274,6537,2.5
274,6539,4.0
274,6541,3.0
274,6559,3.5
274,6564,2.5
274,6586,2.5
274,6593,2.0
274,6595,3.5
274,6615,2.5
274,6618,3.0
274,6659,4.0
274,6664,3.5
274,6686,1.0
274,6687,2.0
274,6695,2.0
274,6702,2.0
274,6707,4.0
274,6708,4.0
274,6711,3.0
274,6715,3.5
274,6731,3.5
274,6754,2.5
274,6755,3.5
274,6763,1.0
274,6764,3.5
274,6774,3.5
274,6794,2.0
274,6796,3.5
274,6807,4.0
274,6820,3.5
274,6863,2.5
274,6868,4.0
274,6872,2.0
274,6874,5.0
274,6879,3.5
274,6880,2.0
274,6888,2.5
274,6934,1.5
274,6936,3.0
274,6947,3.0
274,6950,3.5
274,6957,4.5
274,7001,3.5
274,7004,3.5
274,7022,4.5
274,7024,3.0
274,7064,3.0
274,7090,3.5
274,7117,3.5
274,7143,4.0
274,7150,1.0
274,7153,3.0
